medcode,readcode,readterm,cat
47144,2BBM.00,O/E - diabetic maculopathy absent both eyes,Diabetes (uncomplicated)
47195,D31yz00,Other specified haemorrhagic condition NOS,Coagulopathy
47198,D303400,Deficiency of factor X or Stuart-Prower factor,Coagulopathy
47204,B625z00,Letterer-Siwe disease NOS,Lymphoma
47205,B017.00,Malignant overlapping lesion of tongue,Solid tumour or leukaemia
47211,C2A..00,Sequelae of malnutrition and other nutritional deficiencies,Weight loss
47214,760F300,Rigid oesophagoscopic injection sclerotherapy oesoph varices,Liver disease
47216,C36..00,"Disorders of fluid, electrolyte and acid-base balance",Fluid and electrolyte disorders
47252,B323.00,Malignant melanoma of other and unspecified parts of face,Solid tumour or leukaemia
47257,J615.11,Portal cirrhosis,Liver disease
47286,B551.00,Malignant neoplasm of thorax,Solid tumour or leukaemia
47288,P102z00,Spina bifida with hydrocephalus - open NOS,Other neurological disorders
47315,C10F711,Type II diabetes mellitus - poor control,Diabetes (uncomplicated)
47321,C10F100,Type 2 diabetes mellitus with ophthalmic complications,Diabetes with end-organ damage
47328,2BBk.00,O/E - right eye stable treated prolif diabetic retinopathy,Diabetes with end-organ damage
47330,BBm2.00,[M]Histiocytic medullary reticulosis,Lymphoma
47335,Eu11.00,[X]Mental and behavioural disorders due to use of opioids,Drug abuse
47336,A11..11,Lung tuberculosis,Chronic pulmonary disease
47337,663m.00,Asthma accident and emergency attendance since last visit,Chronic pulmonary disease
47341,8A12.00,Diabetic crisis monitoring,Diabetes (uncomplicated)
47342,Q48y000,Congenital renal failure,Renal disease
47364,H57y300,Lung disease with Sjogren's disease,Rheumatoid arthritis and collagen diseases
47366,B565300,Secondary and unspec malig neop sacral lymph nodes,Metastatic cancer
47370,8HLE.00,Diabetology D.V. done,Diabetes (uncomplicated)
47377,C105y00,Other specified diabetes mellitus with ophthalmic complicatn,Diabetes with end-organ damage
47381,C23z.11,Dystrophy due to malnutrition,Weight loss
47409,C109B11,Type II diabetes mellitus with polyneuropathy,Diabetes with end-organ damage
47439,9OKA.00,Obesity monitoring check done,Obesity
47449,C031.00,Goitrous cretin,Hypothyroidism
47470,U604100,[X]Vit B12/folic/oth ant-megalobl-anaem caus adv ef ther use,Deficiency anaemia
47521,C040.11,Post ablative hypothyroidism,Hypothyroidism
47555,F11x000,Cerebral degeneration due to alcoholism,Alcohol abuse
47556,B512z00,Malignant neoplasm of temporal lobe NOS,Solid tumour or leukaemia
47562,7A43111,Open embolectomy of common iliac artery,Peripheral vascular disease
47582,C10E000,Type 1 diabetes mellitus with renal complications,Diabetes with end-organ damage
47584,F420500,Advanced diabetic retinal disease,Diabetes with end-organ damage
47607,L440.11,CVA - cerebrovascular accident in the puerperium,Other neurological disorders
47618,7A27E00,Operation on aneurysm of brachial artery,Peripheral vascular disease
47619,Eu02z12,[X] Presenile psychosis NOS,Psychoses
47632,A788U00,"HIV disease result/haematological+immunologic abnorms,NEC",HIV/AIDS
47633,ByuA300,"[X]Malig neopl, overlap lesion brain & other part of CNS",Solid tumour or leukaemia
47642,G64z100,Wallenberg syndrome,Other neurological disorders
47649,C10E100,Type 1 diabetes mellitus with ophthalmic complications,Diabetes with end-organ damage
47650,C10E300,Type 1 diabetes mellitus with multiple complications,Diabetes with end-organ damage
47656,B803500,Carcinoma in situ of appendix,Solid tumour or leukaemia
47658,F11x500,Cerebral degeneration due to myxoedema,Other neurological disorders
47665,G74y800,Embolism and thrombosis of the coeliac artery,Peripheral vascular disease
47667,B803200,Carcinoma in situ of descending colon,Solid tumour or leukaemia
47668,B48y100,Malignant neoplasm of tunica vaginalis,Solid tumour or leukaemia
47669,ZV10y14,[V]Personal history of malignant neoplasm of skin,Solid tumour or leukaemia
47672,K01x400,Nephrotic syndrome in systemic lupus erythematosus,Rheumatoid arthritis and collagen diseases
47683,ZV10512,[V]Personal history of malignant neoplasm of kidney,Solid tumour or leukaemia
47684,H47y000,Detergent asthma,Chronic pulmonary disease
47731,Eu33y00,[X]Other recurrent depressive disorders,Depression
47734,BBP5.00,"[M]Epithelioid mesothelioma, malignant",Solid tumour or leukaemia
47737,B800000,Carcinoma in situ of lip,Solid tumour or leukaemia
47751,42P8.00,Heparin induced thrombocytopenia screening test,Coagulopathy
47767,B486.00,Malignant neoplasm of scrotum,Solid tumour or leukaemia
47782,H464200,Chronic pulmonary fibrosis due to chemical fumes,Chronic pulmonary disease
47784,Eu16211,[X]Drug addiction - hallucinogen,Drug abuse
47789,B823000,Carcinoma in situ of skin of forehead skin,Solid tumour or leukaemia
47801,B49y000,"Malignant neoplasm, overlapping lesion of bladder",Solid tumour or leukaemia
47802,Q437000,Bilirubin encephalopathy,Other neurological disorders
47810,B59..00,Malignant neoplasm of unspecified site,Solid tumour or leukaemia
47816,C109H11,Type II diabetes mellitus with neuropathic arthropathy,Diabetes with end-organ damage
47831,N043100,Acute polyarticular juvenile rheumatoid arthritis,Rheumatoid arthritis and collagen diseases
47838,K00yz00,Other acute glomerulonephritis NOS,Renal disease
47840,B545100,Malignant neoplasm of aortic body,Solid tumour or leukaemia
47850,B828600,"Melanoma in situ of lower limb, including hip",Solid tumour or leukaemia
47861,7805211,Exploration of liver transplant,Liver disease
47862,B213300,Malignant neoplasm of thyroid cartilage,Solid tumour or leukaemia
47897,B812300,Carcinoma in situ of middle lobe bronchus and lung,Solid tumour or leukaemia
47899,B451000,Malignant neoplasm of greater vestibular (Bartholin's) gland,Solid tumour or leukaemia
47920,BB9B.11,[M]C cell carcinoma,Solid tumour or leukaemia
47922,K01x000,Nephrotic syndrome in amyloidosis,Renal disease
47952,Dyu0100,[X]Other dietary vitamin B12 deficiency anaemia,Deficiency anaemia
47954,C10F900,Type 2 diabetes mellitus without complication,Diabetes (uncomplicated)
47993,66YZ.00,Does not have asthma management plan,Chronic pulmonary disease
48022,7L1Ay00,Other specified compensation for renal failure,Renal disease
48048,BB1B.00,[M]Giant cell and spindle cell carcinoma,Solid tumour or leukaemia
48054,E101z00,Hebephrenic schizophrenia NOS,Psychoses
48073,B510000,Malignant neoplasm of basal ganglia,Solid tumour or leukaemia
48078,F372000,Acute painful diabetic neuropathy,Diabetes with end-organ damage
48085,ZV10y12,[V]Personal history of malignant neoplasm of brain,Solid tumour or leukaemia
48092,32I3.00,ECG: P-R interval prolonged,Cardiac arrythmia
48102,J62y.00,Other sequelae of chronic liver disease,Liver disease
48111,K100z00,Chronic pyelonephritis NOS,Renal disease
48126,F232.11,Tetraplegia - congenital,Paralysis
48131,E253z00,Nondependent hallucinogen abuse NOS,Drug abuse
48134,F255100,Sensory induced epilepsy,Other neurological disorders
48145,D212000,Anaemia in ovarian carcinoma,Solid tumour or leukaemia
48149,G681.00,Sequelae of intracerebral haemorrhage,Other neurological disorders
48182,BB29.11,[M]Epidermoid carcinoma in situ,Solid tumour or leukaemia
48192,C109E11,Type II diabetes mellitus with diabetic cataract,Diabetes with end-organ damage
48223,BB54.00,[M]Scirrhous adenocarcinoma,Solid tumour or leukaemia
48231,B13y.00,Malignant neoplasm of other specified sites of colon,Solid tumour or leukaemia
48237,B111000,Malignant neoplasm of prepylorus of stomach,Solid tumour or leukaemia
48241,U60H311,[X] Adverse reaction to alcohol deterrents,Alcohol abuse
48253,BBg8.00,"[M]Malignant lymphoma, immunoblastic type",Lymphoma
48261,K00y200,Acute focal nephritis,Renal disease
48271,BBVz.00,[M]Osteoma or osteosarcoma NOS,Solid tumour or leukaemia
48275,BBK3600,[M]Embryonal rhabdomyosarcoma,Solid tumour or leukaemia
48330,L161.12,Maternal obesity syndrome,Obesity
48333,791y.00,Heart valve or adjacent structures operations OS,Valvular disease
48338,D000.12,Iron deficiency anaemia due to blood loss,Blood loss anaemia
48457,C362100,Respiratory acidosis,Fluid and electrolyte disorders
48462,Eu06013,[X]Limbic epilepsy personality,Other neurological disorders
48481,AB24.00,Candidiasis of lung,Chronic pulmonary disease
48501,Eu02z11,[X] Presenile dementia NOS,Other neurological disorders
48514,SM00100,Denatured alcohol causing toxic effect,Alcohol abuse
48517,B310200,Malignant neoplasm of soft tissue of neck,Solid tumour or leukaemia
48519,B065.00,Malignant neoplasm of junctional region of epiglottis,Solid tumour or leukaemia
48527,9kG..00,Spec serv for pat with multiple sclerosis - enh serv admin,Other neurological disorders
48531,F11x700,Cerebral degeneration due to Jakob - Creutzfeldt disease,Other neurological disorders
48537,B17y.00,Malignant neoplasm of other specified sites of pancreas,Solid tumour or leukaemia
48561,E260000,Psychogenic paralysis,Paralysis
48591,TJF7300,Adverse reaction to theophylline (asthma),Chronic pulmonary disease
48609,P118.00,Spina bifida without hydrocephalus - closed,Other neurological disorders
48632,Eu30212,[X]Mania with mood-incongruent psychotic symptoms,Psychoses
48639,SP01500,Mechanical complication of dialysis catheter,Renal disease
48647,H46z.00,Respiratory conditions due to chemical fumes NOS,Chronic pulmonary disease
48700,7A48700,Bypass popliteal artery by pop/tib a anast c vein graft NEC,Peripheral vascular disease
48743,B482.00,Malignant neoplasm of body of penis,Solid tumour or leukaemia
48755,7A12000,Emerg bypass bifurc aorta by anast aorta to femoral artery,Peripheral vascular disease
48808,ZV10416,[V]Personal history of malignant neoplasm of testis,Solid tumour or leukaemia
48809,B35zz00,Malignant neoplasm of male breast NOS,Solid tumour or leukaemia
48820,B410.00,Malignant neoplasm of endocervix,Solid tumour or leukaemia
48828,B582500,Secondary malignant neoplasm of skin of hip and leg,Metastatic cancer
48832,N040700,Rheumatoid arthritis of wrist,Rheumatoid arthritis and collagen diseases
48855,K100500,Chronic obstructive pyelonephritis,Renal disease
48897,8HTL.00,Referral to heart failure clinic,Congestive heart failure
48928,J615H00,Infectious cirrhosis NOS,Liver disease
48939,7A47C00,Emerg bypass femoral artery by fem/fem art anastomosis NEC,Peripheral vascular disease
48946,J111000,Chronic gastric ulcer without mention of complication,Peptic ulcer disease
49023,BBY0.11,[M]Endothelial bone sarcoma,Solid tumour or leukaemia
49028,14S2.00,H/O: kidney recipient,Renal disease
49033,A220.11,Malignant pustule,Solid tumour or leukaemia
49044,H57..00,Lung involvement in diseases EC,Chronic pulmonary disease
49046,A844100,Plasmodium malariae malaria with nephropathy,Renal disease
49054,B304000,Malignant neoplasm of scapula,Solid tumour or leukaemia
49067,N040B00,Rheumatoid arthritis of hip,Rheumatoid arthritis and collagen diseases
49074,C10F400,Type 2 diabetes mellitus with ulcer,Diabetes with end-organ damage
49131,BBg0.00,"[M]Lymphomatous tumour, benign",Lymphoma
49132,B517100,Malignant neoplasm of medulla oblongata,Solid tumour or leukaemia
49145,B58y700,Secondary malignant neoplasm of penis,Metastatic cancer
49146,C108211,Type I diabetes mellitus with neurological complications,Diabetes with end-organ damage
49148,B347.00,"Malignant neoplasm, overlapping lesion of breast",Solid tumour or leukaemia
49150,K0y..00,"Other specified nephritis, nephrosis or nephrotic syndrome",Renal disease
49151,8E53.00,Exercises for paralysis,Paralysis
49159,B812000,Carcinoma in situ of carina of bronchus,Solid tumour or leukaemia
49185,G541700,Aortic valve calcification,Valvular disease
49194,H432.00,Berylliosis,Chronic pulmonary disease
49214,B560.00,Secondary and unspec malig neop lymph nodes head/face/neck,Metastatic cancer
49227,N042.00,Other rheumatoid arthropathy + visceral/systemic involvement,Rheumatoid arthritis and collagen diseases
49235,A160200,Tuberculous pyelonephritis,Renal disease
49250,C380100,Drug-induced obesity,Obesity
49253,BBk0.13,[M]Giant follicular lymphoma,Lymphoma
49254,B823.00,Carcinoma in situ of skin of other parts of face,Solid tumour or leukaemia
49262,B627200,Follicular non-Hodgkin's large cell lymphoma,Lymphoma
49263,Eu00000,[X]Dementia in Alzheimer's disease with early onset,Other neurological disorders
49269,L432.00,Obstetric blood-clot pulmonary embolism,Pulmonary circulation disorders
49272,Gyu5600,[X]Other aortic valve disorders,Valvular disease
49276,C108100,Insulin-dependent diabetes mellitus with ophthalmic comps,Diabetes with end-organ damage
49279,P712.13,Postductal aortic stenosis,Valvular disease
49292,Byu1300,[X]Malignant neoplsm/ill-defin sites within digestive system,Solid tumour or leukaemia
49301,B6z..00,Malignant neoplasm lymphatic or haematopoietic tissue NOS,Solid tumour or leukaemia
49322,F256z00,Infantile spasms NOS,Other neurological disorders
49338,TB01200,"Implant of heart valve prosthesis + complication, no blame",Valvular disease
49340,F251111,Otohara syndrome,Other neurological disorders
49341,4D56.00,Pleural fluid: malignant cells,Solid tumour or leukaemia
49355,G131.00,Mitral stenosis and aortic insufficiency,Valvular disease
49358,B826300,Carcinoma in situ of skin of hand,Solid tumour or leukaemia
49360,B031.00,Malignant neoplasm of lower gum,Solid tumour or leukaemia
49362,D307y00,Other specified acquired coagulation factor deficiency,Coagulopathy
49379,7918z00,Other open operation on valve of heart NOS,Valvular disease
49400,B430211,Malignant neoplasm of endometrium,Solid tumour or leukaemia
49403,B333100,Malignant neoplasm of skin of chin,Solid tumour or leukaemia
49409,9OK4.00,Obesity monitoring 1st letter,Obesity
49413,7916,Open incision of heart valve,Valvular disease
49420,Eu20y00,[X]Other schizophrenia,Psychoses
49447,ZV10018,[V]Personal history of malignant neoplasm of stomach,Solid tumour or leukaemia
49452,H501400,Purulent pleurisy,Chronic pulmonary disease
49463,B310400,Malignant neoplasm of tarsus of eyelid,Solid tumour or leukaemia
49482,F396200,Myopathy due to malignant disease,Solid tumour or leukaemia
49490,G74y900,Embolism and thrombosis of the hepatic artery,Peripheral vascular disease
49491,B303100,Malignant neoplasm of sternum,Solid tumour or leukaemia
49513,E001100,Presenile dementia with delirium,Other neurological disorders
49525,B59zX00,"Kaposi's sarcoma, unspecified",Solid tumour or leukaemia
49541,A413.11,Progressive multifocal leukoencephalopathy,Other neurological disorders
49551,G140514,"Tricuspid stenosis and regurgitation, cause unspecified",Valvular disease
49554,C10EF00,Type 1 diabetes mellitus with diabetic cataract,Diabetes with end-organ damage
49565,Eu14500,[X]Mental & behav dis due to use cocaine: psychotic disorder,Psychoses
49572,B828700,Melanoma in situ of scalp,Solid tumour or leukaemia
49592,7910213,Carpentier prosthetic replacement of mitral valve,Valvular disease
49605,B615.00,"Hodgkin's disease, mixed cellularity",Lymphoma
49629,BB5C100,"[M]Gastrinoma, malignant",Solid tumour or leukaemia
